From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Line R (pu),Line X (pu),Charging B (pu),RATE1 (I as MVA),RATE2 (I as MVA),RATE3 (I as MVA),Length,R-Zero (pu),X-Zero (pu),B-Zero (pu),Zbase,R (ohm),X (ohm),Charging B (ohm),R-Zero (ohm),X-Zero (ohm),B-Zero (ohm)
15212,INRU1R      132.00,18312,PEHG1R      132.00,1,,0.000918,0.004032,0.00094,241,230,210,1.8,0.00227,0.01057,0.00056,174.24,0.160,0.703,,0.396,1.842,
15212,INRU1R      132.00,18914,SFER1M      132.00,1,,0.003111,0.013664,0.00317,241,230,210,6.1,0.00769,0.03581,0.00189,174.24,0.542,2.381,,1.340,6.240,
15213,INRU1S      132.00,18210,PEHE1-      132.00,1,,0.000687,0.002536,0.04105,186,186,186,3,0.00315,0.00112,0,174.24,0.120,0.442,,0.549,0.195,
15213,INRU1S      132.00,18912,SFER1J      132.00,1,,0.006,0.02379,0.00617,195,181,157,11.3,0.01536,0.09394,0.00303,174.24,1.045,4.145,,2.676,16.368,
15310,INVE1J      132.00,15319,INVE1K      132.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
15310,INVE1J      132.00,22311,FERO1S      132.00,1,,0.02157,0.03571,0.00744,99,92,79,15.21,0.03846,0.13742,0,174.24,3.758,6.222,,6.701,23.944,
15310,INVE1J      132.00,23011,CRAR1R      132.00,1,,0.003613,0.039967,0.01468,739,710,662,22.58,0.01942,0.1199,0.00858,174.24,0.630,6.964,,3.384,20.891,
15319,INVE1K      132.00,15711,KILC1Q      132.00,1,,0.0215,0.0355,0.0074,99,92,79,15.1,0.0382,0.1366,0,174.24,3.746,6.186,,6.656,23.801,
15319,INVE1K      132.00,22010,ANSU1-      132.00,1,,0.001816,0.02009,0.00738,739,710,662,11.35,0.00976,0.06027,0.00431,174.24,0.316,3.500,,1.701,10.501,
15319,INVE1K      132.00,57815,SLOY1E      132.00,1,,0.019383,0.049629,0.01065,126,117,101,21.3,0.04516,0.13334,0.00639,174.24,3.377,8.647,,7.869,23.233,
15410,KEIT1-      132.00,15414,KEIC1L      132.00,1,,0.0001,0.0001,0.00799,390,390,390,0.31,0.0001,0.0001,0.00799,174.24,0.017,0.017,,0.017,0.017,
15410,KEIT1-      132.00,21810,GLFA1-      132.00,1,,0.030087,0.068969,0.01466,126,117,101,29.6,0.07479,0.20818,0,174.24,5.242,12.017,,13.031,36.273,
15412,KEIT1J      132.00,17311,MACD1Q      132.00,1,,0.0384,0.088,0.0187,132,123,106,37.8,0.0882,0.2456,0,174.24,6.691,15.333,,15.368,42.793,
