From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Line R (pu),Line X (pu),Charging B (pu),RATE1 (I as MVA),RATE2 (I as MVA),RATE3 (I as MVA),Length,R-Zero (pu),X-Zero (pu),B-Zero (pu),Zbase,R (ohm),X (ohm),Charging B (ohm),R-Zero (ohm),X-Zero (ohm),B-Zero (ohm)
62564,B2_4YD047   400.00,62567,B2_4YD061   400.00,A8,,0.0001,0.000777,0.03544,2423,2423,2423,4.89,0.000313,0.002542,0.020609,1600,0.160,1.243,,0.501,4.067,
62564,B2_4YD047   400.00,62825,B2_YD0008   400.00,A8,,0.0001,0.000505,0.01497,2423,2423,2423,2.56,0.000213,0.001347,0.009408,1600,0.160,0.808,,0.341,2.155,
62565,B2B_4YD047  400.00,62817,B2_4YD001   400.00,A8,,0.000174,0.002557,0.11669,2423,2423,2423,16.08,0.00103,0.008369,0.06785,1600,0.278,4.091,,1.648,13.390,
62565,B2B_4YD047  400.00,62826,B2_YD008    400.00,A8,,0.0001,0.000505,0.01497,2423,2423,2423,2.56,0.000213,0.001347,0.009408,1600,0.160,0.808,,0.341,2.155,
62566,B2C_4YD047  400.00,62818,B2B_4YD061  400.00,A8,,0.0001,0.000777,0.03544,2779,2779,2779,4.89,0.000313,0.002542,0.020609,1600,0.160,1.243,,0.501,4.067,
62566,B2C_4YD047  400.00,62819,B2_FAWL4_M1 400.00,A8,,0.000174,0.002557,0.11669,2779,2779,2779,16.08,0.00103,0.008369,0.06785,1600,0.278,4.091,,1.648,13.390,
62567,B2_4YD061   400.00,62643,B2_NURS4_MC 400.00,A8,,0.0001,0.0001,0,2423,2423,2423,0,0.0001,0.0001,0,1600,0.160,0.160,,0.160,0.160,
62568,B2_4YD062   400.00,62818,B2B_4YD061  400.00,A8,,0.0001,0.0001,0.00171,2779,2779,2779,0.24,0.0001,0.000123,0.000909,1600,0.160,0.160,,0.160,0.197,
62570,B2_4YE022   400.00,62571,B2_4YE023   400.00,A8,,0.0001,0.0001,0.00153,1109,1109,1109,0.23,0.0001,0.000113,0.000826,1600,0.160,0.160,,0.160,0.181,
62570,B2_4YE022   400.00,601047,B2_CHIL4_RB 400.00,A8,,0.0001,0.001285,0.05027,1109,1109,1109,7.48,0.000578,0.003693,0.029664,1600,0.160,2.056,,0.925,5.909,
62571,B2_4YE023   400.00,62572,B2_4YE065_C 400.00,A8,,0.00013,0.00252,0.09862,1109,1109,1109,14.67,0.001133,0.007244,0.058194,1600,0.208,4.032,,1.813,11.590,
62572,B2_4YE065_C 400.00,62884,B2_LOVE4_M1 400.00,A8,,0.0001,0.0001,0.05207,1109,1109,1109,0.31,0.0001,0.0001,0.05207,1600,0.160,0.160,,0.160,0.160,
62574,B2_BOTW1_M1 132.00,62687,B2_TERM_C87 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62574,B2_BOTW1_M1 132.00,62689,B2B_TERM_C88132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62576,B2_BOTW4_MC 400.00,62884,B2_LOVE4_M1 400.00,A8,,0.00013,0.00252,0.09862,3341,3341,3341,14.67,0.001133,0.007244,0.058194,1600,0.208,4.032,,1.813,11.590,
62576,B2_BOTW4_MC 400.00,601047,B2_CHIL4_RB 400.00,A8,,0.0001,0.001285,0.05027,3341,3341,3341,7.48,0.000578,0.003693,0.029664,1600,0.160,2.056,,0.925,5.909,
62577,B2_CHHE11   132.00,62686,B2_TERM_C84 132.00,C8,,0.02131,0.067553,0.03776,141,141,141,1,0.061504,0.18748,0,174.24,3.713,11.770,,10.716,32.667,
62578,B2_CHHE12   132.00,62934,B2E_TERM_C8A132.00,C8,,0.02131,0.067553,0.03776,141,141,141,1,0.061504,0.18748,0,174.24,3.713,11.770,,10.716,32.667,
62580,B2_COWE11   132.00,62705,B2_WOOC11   132.00,1,,0.002612,0.007765,0.01836,145,145,145,1,0.027999,0.035483,0,174.24,0.455,1.353,,4.879,6.183,
62580,B2_COWE11   132.00,62705,B2_WOOC11   132.00,C8,,0.002612,0.007765,0.01836,9998.7,9998.7,9998.7,1,0.007968,0.024282,0,174.24,0.455,1.353,,1.388,4.231,
62580,B2_COWE11   132.00,62924,B2_TERM990  132.00,C8,,0.007734,0.017768,0.20409,138,138,138,1,0.037192,0.032675,0,174.24,1.348,3.096,,6.480,5.693,
62585,B2_ENIC11   132.00,62630,B2_LYNC11   132.00,C8,,0.0001,0.0001,0,124,124,124,1,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62586,B2_ENIC12   132.00,62630,B2_LYNC11   132.00,C8,,0.0001,0.0001,0,124,124,124,1,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62591,B2_FARE11   132.00,62593,B2_FARE1A   132.00,C8,,0.002687,0.009358,0.00337,247,247,247,1,0.005977,0.025781,0,174.24,0.468,1.631,,1.041,4.492,
62592,B2_FARE12   132.00,62594,B2_FARE1B   132.00,C8,,0.002687,0.009358,0.00337,247,247,247,1,0.005977,0.025781,0,174.24,0.468,1.631,,1.041,4.492,
62593,B2_FARE1A   132.00,62595,B2_FARE1C   132.00,C8,,0.00017,0.000364,0.00552,126,126,126,1,0.001488,0.000104,0,174.24,0.030,0.063,,0.259,0.018,
62593,B2_FARE1A   132.00,62615,B2_FWID11   132.00,C8,,0.00251,0.009784,0.06622,247,247,247,1,0.011233,0.021871,0,174.24,0.437,1.705,,1.957,3.811,
62594,B2_FARE1B   132.00,62615,B2_FWID11   132.00,C8,,0.00251,0.009784,0.06622,247,247,247,1,0.011233,0.021871,0,174.24,0.437,1.705,,1.957,3.811,
62595,B2_FARE1C   132.00,62640,B2_NETC1B   132.00,1,,0.008132,0.018365,0.004,124,124,124,1,0.01672,0.046506,0,174.24,1.417,3.200,,2.913,8.103,
62595,B2_FARE1C   132.00,62640,B2_NETC1B   132.00,C8,,0.008132,0.018365,0.004,124,124,124,1,0.01672,0.046506,0,174.24,1.417,3.200,,2.913,8.103,
62598,B2_FAWC51   11.000,62599,B2_FAWC52   11.000,R8,,0.0001,0.3,0,15,15,15,1,0.0001,0.3,0,1.21,0.000,0.363,,0.000,0.363,
62604,B2_FAWN11   132.00,62611,B2_FAWS11   132.00,C8,,0.001435,0.005311,0.00247,183,183,183,1,0.004603,0.014815,0,174.24,0.250,0.925,,0.802,2.581,
62604,B2_FAWN11   132.00,62612,B2_FAWS12   132.00,C8,,0.001339,0.000937,0.01866,189,189,189,1,0.007082,0.001122,0,174.24,0.233,0.163,,1.234,0.195,
62604,B2_FAWN11   132.00,62630,B2_LYNC11   132.00,C8,,0.000493,0.00238,0.00062,183,183,183,1,0.001239,0.006245,0,174.24,0.086,0.415,,0.216,1.088,
62604,B2_FAWN11   132.00,62926,B2_TERM991( 132.00,C8,,0.00146,0.002428,0.08435,138,138,138,1,0.016523,0.002913,0,174.24,0.254,0.423,,2.879,0.508,
62604,B2_FAWN11   132.00,62928,B2C_TERM991(132.00,C8,,0.001484,0.002467,0.08573,138,138,138,1,0.016793,0.00296,0,174.24,0.259,0.430,,2.926,0.516,
62607,B2_FAWN53   11.000,62608,B2_FAWN54   11.000,R8,,0.0001,3,0,52,52,52,1,0.0001,3,0,1.21,0.000,3.630,,0.000,3.630,
62609,B2_FAWN55   11.000,62610,B2_FAWN56   11.000,R8,,0.0001,0.3,0,52,52,52,1,0.0001,0.3,0,1.21,0.000,0.363,,0.000,0.363,
62611,B2_FAWS11   132.00,62633,B2_MAWO12   132.00,C8,,0.004086,0.017568,0.1086,183,183,183,1,0.015097,0.038146,0,174.24,0.712,3.061,,2.631,6.647,
62611,B2_FAWS11   132.00,62927,B2B_TERM991(132.00,C8,,0.001154,0.001918,0.06665,138,138,138,1,0.013057,0.002302,0,174.24,0.201,0.334,,2.275,0.401,
62611,B2_FAWS11   132.00,62929,B2D_TERM991(132.00,C8,,0.001154,0.001918,0.06665,138,138,138,1,0.013057,0.002302,0,174.24,0.201,0.334,,2.275,0.401,
62615,B2_FWID11   132.00,62645,B2_PORP11   132.00,C8,,0.003361,0.007591,0.00165,124,124,124,1,0.006911,0.019222,0,174.24,0.586,1.323,,1.204,3.349,
62615,B2_FWID11   132.00,62685,B2_TERM_C80 132.00,C8,,0.002477,0.01194,0.02377,208,208,208,1,0.008606,0.029597,0,174.24,0.432,2.080,,1.500,5.157,
62615,B2_FWID11   132.00,62690,B2_TERM_C89 132.00,C8,,0.002426,0.011701,0.01699,208,208,208,1,0.007705,0.029534,0,174.24,0.423,2.039,,1.343,5.146,
62615,B2_FWID11   132.00,62691,B2_TERM_C8A 132.00,C8,,0.002519,0.012137,0.03054,208,208,208,1,0.009486,0.02955,0,174.24,0.439,2.115,,1.653,5.149,
62615,B2_FWID11   132.00,62693,B2C_TERM_C8A132.00,C8,,0.002515,0.012118,0.03001,208,208,208,1,0.009417,0.029545,0,174.24,0.438,2.111,,1.641,5.148,
62615,B2_FWID11   132.00,62707,B2_WYME11   132.00,C8,,0.003034,0.006852,0.00149,124,124,124,1,0.006239,0.017352,0,174.24,0.529,1.194,,1.087,3.023,
62615,B2_FWID11   132.00,62708,B2_WYME12   132.00,C8,,0.001938,0.006197,0.0014,157,157,157,1,0.005284,0.017293,0,174.24,0.338,1.080,,0.921,3.013,
62615,B2_FWID11   132.00,62709,B2_WYME13   132.00,C8,,0.001938,0.006197,0.0014,157,157,157,1,0.005284,0.017293,0,174.24,0.338,1.080,,0.921,3.013,
62617,B2_HAVA11   132.00,62694,B2D_TERM_C8A132.00,C8,,0.005777,0.01642,0.07249,153,153,153,1,0.026805,0.049042,0,174.24,1.007,2.861,,4.671,8.545,
62618,B2_HAVA12   132.00,62688,B2_TERM_C88 132.00,C8,,0.005777,0.01642,0.07249,141,141,141,1,0.026805,0.049042,0,174.24,1.007,2.861,,4.671,8.545,
62620,B2_HUNS11   132.00,62933,B2_TERM_C86 132.00,C8,,0.009925,0.026132,0.43617,141,141,141,1,0.029083,0.056319,0,174.24,1.729,4.553,,5.067,9.813,
62621,B2_HUNS12   132.00,62692,B2B_TERM_C8A132.00,C8,,0.009925,0.026132,0.43617,141,141,141,1,0.029083,0.056319,0,174.24,1.729,4.553,,5.067,9.813,
62623,B2_LANG1A   132.00,62705,B2_WOOC11   132.00,C8,,0.014507,0.030275,0.08079,124,124,124,1,0.041008,0.072076,0,174.24,2.528,5.275,,7.145,12.559,
62623,B2_LANG1A   132.00,62925,B2_TERM991  132.00,C8,,0.000743,0.001234,0.03908,138,138,138,1,0.008324,0.001472,0,174.24,0.129,0.215,,1.450,0.256,
62624,B2_LANG1B   132.00,62705,B2_WOOC11   132.00,C8,,0.01456,0.030344,0.08305,9998.7,9998.7,9998.7,1,0.041417,0.072148,0,174.24,2.537,5.287,,7.216,12.571,
62624,B2_LANG1B   132.00,62930,B2E_TERM991(132.00,C8,,0.000778,0.001291,0.04089,138,138,138,1,0.00871,0.00154,0,174.24,0.136,0.225,,1.518,0.268,
62630,B2_LYNC11   132.00,62633,B2_MAWO12   132.00,C8,,0.004606,0.020227,0.11742,183,183,183,1,0.016619,0.044302,0,174.24,0.803,3.524,,2.896,7.719,
62632,B2_MAWO11   132.00,62633,B2_MAWO12   132.00,R8,,0.001,0.2,0,90,90,90,1,0.00101,0.2,0,174.24,0.174,34.848,,0.176,34.848,
62632,B2_MAWO11   132.00,62636,B2_MILL11   132.00,C8,,0.000435,0.002589,0.07748,274,274,274,1,0.002647,0.004158,0,174.24,0.076,0.451,,0.461,0.724,
62632,B2_MAWO11   132.00,62916,B2_TERM205  132.00,C8,,0.001016,0.007461,0.09452,274,274,274,1,0.005108,0.020115,0,174.24,0.177,1.300,,0.890,3.505,
62632,B2_MAWO11   132.00,66615,G6_ANDO14   132.00,C8,,0.022475,0.050758,0.01107,9998.7,9998.7,9998.7,1,0.046212,0.128535,0,174.24,3.916,8.844,,8.052,22.396,
62634,B2_MAWO4_M  400.00,62825,B2_YD0008   400.00,A8,,0.0001,0.0001,0,2423,2423,2423,0,0.0001,0.0001,0,1600,0.160,0.160,,0.160,0.160,
62634,B2_MAWO4_M  400.00,62826,B2_YD008    400.00,A8,,0.0001,0.0001,0,2423,2423,2423,0,0.0001,0.0001,0,1600,0.160,0.160,,0.160,0.160,
62636,B2_MILL11   132.00,62656,B2_SAMP11   132.00,C8,,0.00158,0.012009,0.02376,223,223,223,1,0.006839,0.031322,0,174.24,0.275,2.092,,1.192,5.458,
62636,B2_MILL11   132.00,62657,B2_SAMP12   132.00,C8,,0.001574,0.01194,0.02162,223,223,223,1,0.006689,0.031309,0,174.24,0.274,2.080,,1.165,5.455,
62636,B2_MILL11   132.00,62919,B2_TERM210  132.00,C8,,0.000863,0.007132,0.01708,274,274,274,1,0.00354,0.022021,0,174.24,0.150,1.243,,0.617,3.837,
62637,B2_NETC11   132.00,62687,B2_TERM_C87 132.00,C8,,0.007858,0.026577,0.00606,178,178,178,1,0.021668,0.073918,0,174.24,1.369,4.631,,3.775,12.879,
62638,B2_NETC12   132.00,62639,B2_NETC1A   132.00,C8,,0.007312,0.023388,0.0053,178,178,178,1,0.019943,0.065269,0,174.24,1.274,4.075,,3.475,11.372,
62639,B2_NETC1A   132.00,62689,B2B_TERM_C88132.00,C8,,0.000546,0.003189,0.00076,297,297,297,1,0.001725,0.008649,0,174.24,0.095,0.556,,0.301,1.507,
62643,B2_NURS4_MC 400.00,62884,B2_LOVE4_M1 400.00,A8,,0.000396,0.006344,0.24046,2771,2771,2771,36.48,0.002347,0.017973,0.144733,1600,0.634,10.150,,3.755,28.757,
62644,B2_NURS4A   400.00,62884,B2_LOVE4_M1 400.00,A8,,0.000396,0.006344,0.24046,2779,2779,2779,36.48,0.002347,0.017973,0.144733,1600,0.634,10.150,,3.755,28.757,
62644,B2_NURS4A   400.00,65563,E1_4YB115   400.00,A8,,0.0001,0.0001,0.00101,2779,2779,2779,0.15,0.0001,0.0001,0.000559,1600,0.160,0.160,,0.160,0.160,
62647,B2_ROWN11   132.00,62667,B2_TERM705  132.00,C8,,0.000397,0.003369,0.01493,365,365,365,1,0.001726,0.011569,0,174.24,0.069,0.587,,0.301,2.016,
62647,B2_ROWN11   132.00,62699,B2_VELM11   132.00,C8,,0.003464,0.010799,0.00899,160,160,160,1,0.010903,0.034531,0,174.24,0.604,1.882,,1.900,6.017,
62648,B2_ROWN12   132.00,62665,B2_TERM505  132.00,C8,,0.000398,0.003392,0.01572,365,365,365,1,0.001743,0.011765,0,174.24,0.069,0.591,,0.304,2.050,
62648,B2_ROWN12   132.00,62700,B2_VELM12   132.00,C8,,0.003474,0.010813,0.00907,142,142,142,1,0.010983,0.03453,0,174.24,0.605,1.884,,1.914,6.017,
62660,B2_TERM205( 132.00,62702,B2_WINC11   132.00,C8,,0.015155,0.034212,0.00881,124,124,124,1,0.031398,0.086579,0,174.24,2.641,5.961,,5.471,15.086,
62660,B2_TERM205( 132.00,62896,B2_NURS1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62665,B2_TERM505  132.00,62896,B2_NURS1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62666,B2_TERM605  132.00,62703,B2_WINC12   132.00,C8,,0.017489,0.039499,0.00861,124,124,124,1,0.035961,0.100024,0,174.24,3.047,6.882,,6.266,17.428,
62666,B2_TERM605  132.00,62896,B2_NURS1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62667,B2_TERM705  132.00,62896,B2_NURS1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62671,B2_TERM     132.00,62896,B2_NURS1_M1 132.00,0,,0.0001,0.0001,0.00226,2286284,2286284,2286284,0.08,0.0001,0.0001,0.002263,174.24,0.017,0.017,,0.017,0.017,
62672,B2B_TERM    132.00,62896,B2_NURS1_M1 132.00,0,,0.0001,0.0001,0.00617,2286284,2286284,2286284,0.19,0.0001,0.0001,0.006175,174.24,0.017,0.017,,0.017,0.017,
62673,B2C_TERM    132.00,62896,B2_NURS1_M1 132.00,0,,0.0001,0.0001,0.0065,2286284,2286284,2286284,0.2,0.0001,0.0001,0.006503,174.24,0.017,0.017,,0.017,0.017,
62674,B2D_TERM    132.00,62882,B2_LOVE1_M1 132.00,0,,0.0001,0.0001,0,274,274,274,0.19,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62675,B2E_TERM    132.00,62883,B2_LOVE1_M2 132.00,0,,0.0001,0.0001,0.01041,2286284,2286284,2286284,0.32,0.0001,0.0001,0.010411,174.24,0.017,0.017,,0.017,0.017,
62677,B2G_TERM    132.00,62874,B2_FAWL1_M1 132.00,0,,0.0001,0.0001,0.00378,2286284,2286284,2286284,0.12,0.0001,0.0001,0.003777,174.24,0.017,0.017,,0.017,0.017,
62685,B2_TERM_C80 132.00,62882,B2_LOVE1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62686,B2_TERM_C84 132.00,62883,B2_LOVE1_M2 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62688,B2_TERM_C88 132.00,62883,B2_LOVE1_M2 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62690,B2_TERM_C89 132.00,62882,B2_LOVE1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62691,B2_TERM_C8A 132.00,62882,B2_LOVE1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62692,B2B_TERM_C8A132.00,62883,B2_LOVE1_M2 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62693,B2C_TERM_C8A132.00,62882,B2_LOVE1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62694,B2D_TERM_C8A132.00,62883,B2_LOVE1_M2 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62709,B2_WYME13   132.00,62900,B2_PORP12   132.00,C8,,0.003575,0.004923,0.13704,126,126,126,1,0.004798,0.015699,0,174.24,0.623,0.858,,0.836,2.735,
62712,B3_ALSH11   132.00,62956,B3F_XZTERM22132.00,C8,,0.004669,0.014635,0.00648,9998.7,9998.7,9998.7,1,0.013901,0.047158,0,174.24,0.814,2.550,,2.422,8.217,
62713,B3_ALSH12   132.00,62955,B3E_XZTERM22132.00,C8,,0.004669,0.014635,0.00648,9998.7,9998.7,9998.7,1,0.013901,0.047158,0,174.24,0.814,2.550,,2.422,8.217,
62715,B3_ALTO11   132.00,62718,B3_ALTO1B   132.00,C8,,0.001635,0.003691,0.0008,9998.7,9998.7,9998.7,1,0.003361,0.009348,0,174.24,0.285,0.643,,0.586,1.629,
62716,B3_ALTO12   132.00,62717,B3_ALTO1A   132.00,C8,,0.001678,0.003834,0.00241,9998.7,9998.7,9998.7,1,0.003426,0.009384,0,174.24,0.292,0.668,,0.597,1.635,
62717,B3_ALTO1A   132.00,62737,B3_FERN12   132.00,C8,,0.012063,0.042531,0.03846,9998.7,9998.7,9998.7,1,0.040406,0.117486,0,174.24,2.102,7.411,,7.040,20.471,
62717,B3_ALTO1A   132.00,62951,B3_XZTERM21 132.00,C8,,0.008443,0.026628,0.01762,9998.7,9998.7,9998.7,1,0.025083,0.085077,0,174.24,1.471,4.640,,4.370,14.824,
62718,B3_ALTO1B   132.00,62736,B3_FERN11   132.00,C8,,0.011143,0.040454,0.038,9998.7,9998.7,9998.7,1,0.038515,0.112227,0,174.24,1.942,7.049,,6.711,19.554,
62718,B3_ALTO1B   132.00,62952,B3B_XZTERM21132.00,C8,,0.008443,0.026628,0.01762,9998.7,9998.7,9998.7,1,0.025083,0.085077,0,174.24,1.471,4.640,,4.370,14.824,
62720,B3_BASI11   132.00,62721,B3_BASI1A   132.00,C8,,0.004623,0.014491,0.00641,9998.7,9998.7,9998.7,1,0.013764,0.046694,0,174.24,0.806,2.525,,2.398,8.136,
62720,B3_BASI11   132.00,62722,B3_BASI1B   132.00,C8,,0.004623,0.014491,0.00641,9998.7,9998.7,9998.7,1,0.013764,0.046694,0,174.24,0.806,2.525,,2.398,8.136,
62720,B3_BASI11   132.00,62783,B4_C8DGDD_N 132.00,C8,,0.000993,0.009119,0.14857,287,287,287,1,0.016775,0.009319,0,174.24,0.173,1.589,,2.923,1.624,
62720,B3_BASI11   132.00,62784,B4_C8DHDD_N 132.00,C8,,0.001007,0.009272,0.15129,287,287,287,1,0.017032,0.009488,0,174.24,0.175,1.616,,2.968,1.653,
62721,B3_BASI1A   132.00,62785,B4_READ11   132.00,C8,,0.016666,0.050858,0.01689,9998.7,9998.7,9998.7,1,0.045483,0.140355,0,174.24,2.904,8.861,,7.925,24.455,
62721,B3_BASI1A   132.00,62808,B3_XZTERM22 132.00,C8,,0.001471,0.007174,0.15747,9998.7,9998.7,9998.7,1,0.016518,0.009172,0,174.24,0.256,1.250,,2.878,1.598,
62722,B3_BASI1B   132.00,62786,B4_READ12   132.00,C8,,0.016812,0.051232,0.0171,9998.7,9998.7,9998.7,1,0.045849,0.141361,0,174.24,2.929,8.927,,7.989,24.631,
62722,B3_BASI1B   132.00,62917,B3_TERM205  132.00,C8,,0.001471,0.007174,0.15747,9998.7,9998.7,9998.7,1,0.016518,0.009172,0,174.24,0.256,1.250,,2.878,1.598,
62726,B3_BRKN11   132.00,62730,B3_CAMB12   132.00,C8,,0.002381,0.008651,0.17167,195,195,195,1,0.021145,0.004186,0,174.24,0.415,1.507,,3.684,0.729,
62726,B3_BRKN11   132.00,62775,B3_WOKI11   132.00,C8,,0.002623,0.012631,0.03134,9998.7,9998.7,9998.7,1,0.008151,0.032625,0,174.24,0.457,2.201,,1.420,5.685,
62727,B3_BRKN12   132.00,62729,B3_CAMB11   132.00,C8,,0.002381,0.008651,0.17167,195,195,195,1,0.021145,0.004186,0,174.24,0.415,1.507,,3.684,0.729,
62727,B3_BRKN12   132.00,62776,B3_WOKI12   132.00,C8,,0.002623,0.012631,0.03134,9998.7,9998.7,9998.7,1,0.008151,0.032625,0,174.24,0.457,2.201,,1.420,5.685,
62729,B3_CAMB11   132.00,62914,B3_TERM200  132.00,C8,,0.005511,0.021515,0.14034,9998.7,9998.7,9998.7,1,0.018188,0.047178,0,174.24,0.960,3.749,,3.169,8.220,
62730,B3_CAMB12   132.00,62773,B3F_TERM    132.00,C8,,0.005505,0.018565,0.18505,9998.7,9998.7,9998.7,1,0.022878,0.048683,0,174.24,0.959,3.235,,3.986,8.483,
62733,B3_COXW11   132.00,62954,B3D_XZTERM22132.00,C8,,0.000171,0.000154,0.00297,9998.7,9998.7,9998.7,1,0.000171,0.0001,0,174.24,0.030,0.027,,0.030,0.017,
62734,B3_COXW12   132.00,62956,B3F_XZTERM22132.00,C8,,0.000106,0.000136,0.00282,9998.7,9998.7,9998.7,1,0.000163,0.0001,0,174.24,0.018,0.024,,0.028,0.017,
62741,B3_FLEE4_MC 400.00,62769,B3B_TERM    400.00,0,,0.0001,0.0001,0.03257,6928135,6928135,6928135,0.11,0.0001,0.0001,0.032572,1600,0.160,0.160,,0.160,0.160,
62741,B3_FLEE4_MC 400.00,62862,B4_BRLE4_M1 400.00,1,,0.00019,0.003053,0.11572,3180,3180,3180,17.56,0.001129,0.00865,0.069655,1600,0.304,4.885,,1.806,13.840,
62741,B3_FLEE4_MC 400.00,62862,B4_BRLE4_M1 400.00,A8,,0.00019,0.003053,0.11572,3180,3180,3180,17.56,0.001129,0.00865,0.069655,1600,0.304,4.885,,1.806,13.840,
62741,B3_FLEE4_MC 400.00,62884,B2_LOVE4_M1 400.00,A8,,0.00064,0.007885,0.24661,3140,3140,3140,41.1,0.003527,0.021534,0.152097,1600,1.024,12.616,,5.643,34.454,
62741,B3_FLEE4_MC 400.00,62976,B3_TERM     400.00,0,,0.0001,0.0001,0.02748,6928135,6928135,6928135,0.09,0.0001,0.0001,0.027475,1600,0.160,0.160,,0.160,0.160,
62742,B3_MAID11   132.00,62744,B3_MAID1A   132.00,C8,,0.012008,0.034145,0.05638,9998.7,9998.7,9998.7,1,0.035863,0.090669,0,174.24,2.092,5.949,,6.249,15.798,
62743,B3_MAID12   132.00,62745,B3_MAID1B   132.00,C8,,0.012008,0.034145,0.05638,9998.7,9998.7,9998.7,1,0.035863,0.090669,0,174.24,2.092,5.949,,6.249,15.798,
62744,B3_MAID1A   132.00,62775,B3_WOKI11   132.00,C8,,0.004878,0.010784,0.01136,9998.7,9998.7,9998.7,1,0.009802,0.027832,0,174.24,0.850,1.879,,1.708,4.849,
62744,B3_MAID1A   132.00,62786,B4_READ12   132.00,C8,,0.001733,0.003637,0.0647,9998.7,9998.7,9998.7,1,0.015163,0.00762,0,174.24,0.302,0.634,,2.642,1.328,
62745,B3_MAID1B   132.00,62776,B3_WOKI12   132.00,C8,,0.004878,0.010784,0.01136,9998.7,9998.7,9998.7,1,0.009802,0.027832,0,174.24,0.850,1.879,,1.708,4.849,
62745,B3_MAID1B   132.00,62785,B4_READ11   132.00,C8,,0.001733,0.003637,0.0647,9998.7,9998.7,9998.7,1,0.015163,0.00762,0,174.24,0.302,0.634,,2.642,1.328,
62747,B3_PYES11   132.00,62809,B3B_XZTERM22132.00,C8,,0.003107,0.007914,0.07766,9998.7,9998.7,9998.7,1,0.023093,0.017514,0,174.24,0.541,1.379,,4.024,3.052,
62750,B3_RAEF11   132.00,62869,B3_CODP11   132.00,C8,,0.000491,0.001024,0.01569,133,133,133,1,0.002094,0.000451,0,174.24,0.086,0.178,,0.365,0.079,
62750,B3_RAEF11   132.00,62953,B3C_XZTERM22132.00,C8,,0.003129,0.007971,0.18652,9998.7,9998.7,9998.7,1,0.023184,0.017544,0,174.24,0.545,1.389,,4.040,3.057,
62768,B3_TERM     132.00,62875,B3_FLEE1_M1 132.00,0,,0.0001,0.0001,0.00665,2286284,2286284,2286284,0.2,0.0001,0.0001,0.006645,174.24,0.017,0.017,,0.017,0.017,
62770,B3C_TERM    132.00,62876,B3_FLEE1_R1 132.00,0,,0.0001,0.0001,0.01569,2286284,2286284,2286284,0.48,0.0001,0.0001,0.015692,174.24,0.017,0.017,,0.017,0.017,
62772,B3E_TERM    132.00,62876,B3_FLEE1_R1 132.00,0,,0.0001,0.0001,0.01263,2286284,2286284,2286284,0.38,0.0001,0.0001,0.012633,174.24,0.017,0.017,,0.017,0.017,
62773,B3F_TERM    132.00,62875,B3_FLEE1_M1 132.00,C8,,0.0001,0.0001,0,22863.1,22863.1,22863.1,0,0.0001,0.0001,0,174.24,0.017,0.017,,0.017,0.017,
62775,B3_WOKI11   132.00,62920,B3_TERM210  132.00,C8,,0.006242,0.036989,0.01142,9998.7,9998.7,9998.7,1,0.018565,0.099074,0,174.24,1.088,6.445,,3.235,17.263,
